,Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class_1,Class_2
59,"tf.Tensor(0.32857943, shape=(), dtype=float32)","tf.Tensor(0.8959327, shape=(), dtype=float32)","tf.Tensor(0.5193791, shape=(), dtype=float32)","tf.Tensor(0.89780056, shape=(), dtype=float32)","tf.Tensor(0.16843869, shape=(), dtype=float32)","tf.Tensor(0.63877517, shape=(), dtype=float32)","tf.Tensor(0.7761346, shape=(), dtype=float32)","tf.Tensor(0.9223034, shape=(), dtype=float32)","tf.Tensor(0.49893686, shape=(), dtype=float32)","tf.Tensor(0.8953183, shape=(), dtype=float32)","tf.Tensor(0.902311, shape=(), dtype=float32)","tf.Tensor(0.07680151, shape=(), dtype=float32)","tf.Tensor(0.930249, shape=(), dtype=float32)","tf.Tensor(0.5087959, shape=(), dtype=float32)","tf.Tensor(0.71376586, shape=(), dtype=float32)","tf.Tensor(0.51443475, shape=(), dtype=float32)","tf.Tensor(0.86283934, shape=(), dtype=float32)","tf.Tensor(0.8965174, shape=(), dtype=float32)","tf.Tensor(0.7191001, shape=(), dtype=float32)","tf.Tensor(0.34363458, shape=(), dtype=float32)","tf.Tensor(0.3560643, shape=(), dtype=float32)","tf.Tensor(0.60869974, shape=(), dtype=float32)","tf.Tensor(0.45464563, shape=(), dtype=float32)","tf.Tensor(0.8556801, shape=(), dtype=float32)","tf.Tensor(0.6003477, shape=(), dtype=float32)","tf.Tensor(0.86405826, shape=(), dtype=float32)","tf.Tensor(0.5189217, shape=(), dtype=float32)","tf.Tensor(0.8533307, shape=(), dtype=float32)","tf.Tensor(0.7465711, shape=(), dtype=float32)","tf.Tensor(-0.013349531, shape=(), dtype=float32)","tf.Tensor(1.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
60,"tf.Tensor(0.5125492, shape=(), dtype=float32)","tf.Tensor(0.8090842, shape=(), dtype=float32)","tf.Tensor(0.36371422, shape=(), dtype=float32)","tf.Tensor(0.7695691, shape=(), dtype=float32)","tf.Tensor(0.3676893, shape=(), dtype=float32)","tf.Tensor(0.59777874, shape=(), dtype=float32)","tf.Tensor(0.5553464, shape=(), dtype=float32)","tf.Tensor(0.767707, shape=(), dtype=float32)","tf.Tensor(0.54941285, shape=(), dtype=float32)","tf.Tensor(0.59682816, shape=(), dtype=float32)","tf.Tensor(0.60989374, shape=(), dtype=float32)","tf.Tensor(0.41789764, shape=(), dtype=float32)","tf.Tensor(0.62733936, shape=(), dtype=float32)","tf.Tensor(0.46343568, shape=(), dtype=float32)","tf.Tensor(0.2564222, shape=(), dtype=float32)","tf.Tensor(0.7075694, shape=(), dtype=float32)","tf.Tensor(0.47245574, shape=(), dtype=float32)","tf.Tensor(0.48697957, shape=(), dtype=float32)","tf.Tensor(0.4721371, shape=(), dtype=float32)","tf.Tensor(0.5331506, shape=(), dtype=float32)","tf.Tensor(0.15269558, shape=(), dtype=float32)","tf.Tensor(0.4924375, shape=(), dtype=float32)","tf.Tensor(0.38850483, shape=(), dtype=float32)","tf.Tensor(0.68435526, shape=(), dtype=float32)","tf.Tensor(0.66088885, shape=(), dtype=float32)","tf.Tensor(0.6251309, shape=(), dtype=float32)","tf.Tensor(0.38706914, shape=(), dtype=float32)","tf.Tensor(0.6937823, shape=(), dtype=float32)","tf.Tensor(0.6257983, shape=(), dtype=float32)","tf.Tensor(-0.072486274, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(1.0, shape=(), dtype=float32)"
61,"tf.Tensor(0.6618749, shape=(), dtype=float32)","tf.Tensor(0.9025097, shape=(), dtype=float32)","tf.Tensor(0.5178368, shape=(), dtype=float32)","tf.Tensor(0.8878823, shape=(), dtype=float32)","tf.Tensor(0.3962085, shape=(), dtype=float32)","tf.Tensor(0.73781484, shape=(), dtype=float32)","tf.Tensor(0.6909871, shape=(), dtype=float32)","tf.Tensor(0.8664483, shape=(), dtype=float32)","tf.Tensor(0.6949088, shape=(), dtype=float32)","tf.Tensor(0.7847569, shape=(), dtype=float32)","tf.Tensor(0.80386287, shape=(), dtype=float32)","tf.Tensor(0.2994166, shape=(), dtype=float32)","tf.Tensor(0.90321714, shape=(), dtype=float32)","tf.Tensor(0.41388246, shape=(), dtype=float32)","tf.Tensor(0.60152173, shape=(), dtype=float32)","tf.Tensor(0.5325723, shape=(), dtype=float32)","tf.Tensor(0.854578, shape=(), dtype=float32)","tf.Tensor(0.8775389, shape=(), dtype=float32)","tf.Tensor(0.80527467, shape=(), dtype=float32)","tf.Tensor(0.110747576, shape=(), dtype=float32)","tf.Tensor(0.30539232, shape=(), dtype=float32)","tf.Tensor(0.49416214, shape=(), dtype=float32)","tf.Tensor(0.47822377, shape=(), dtype=float32)","tf.Tensor(0.8180703, shape=(), dtype=float32)","tf.Tensor(0.6296584, shape=(), dtype=float32)","tf.Tensor(0.8309844, shape=(), dtype=float32)","tf.Tensor(0.53670037, shape=(), dtype=float32)","tf.Tensor(0.83576345, shape=(), dtype=float32)","tf.Tensor(0.75658417, shape=(), dtype=float32)","tf.Tensor(-0.1167951, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(1.0, shape=(), dtype=float32)"
62,"tf.Tensor(0.59770817, shape=(), dtype=float32)","tf.Tensor(0.962698, shape=(), dtype=float32)","tf.Tensor(0.42154324, shape=(), dtype=float32)","tf.Tensor(0.94554716, shape=(), dtype=float32)","tf.Tensor(0.40897214, shape=(), dtype=float32)","tf.Tensor(0.71797794, shape=(), dtype=float32)","tf.Tensor(0.6028047, shape=(), dtype=float32)","tf.Tensor(0.9271645, shape=(), dtype=float32)","tf.Tensor(0.7145964, shape=(), dtype=float32)","tf.Tensor(0.8071303, shape=(), dtype=float32)","tf.Tensor(0.87145704, shape=(), dtype=float32)","tf.Tensor(0.1668207, shape=(), dtype=float32)","tf.Tensor(0.905586, shape=(), dtype=float32)","tf.Tensor(0.4050241, shape=(), dtype=float32)","tf.Tensor(0.5764649, shape=(), dtype=float32)","tf.Tensor(0.789719, shape=(), dtype=float32)","tf.Tensor(0.82266235, shape=(), dtype=float32)","tf.Tensor(0.8735368, shape=(), dtype=float32)","tf.Tensor(0.7964378, shape=(), dtype=float32)","tf.Tensor(0.37033165, shape=(), dtype=float32)","tf.Tensor(0.23609789, shape=(), dtype=float32)","tf.Tensor(0.47554585, shape=(), dtype=float32)","tf.Tensor(0.5216541, shape=(), dtype=float32)","tf.Tensor(0.82783383, shape=(), dtype=float32)","tf.Tensor(0.8365846, shape=(), dtype=float32)","tf.Tensor(0.7116665, shape=(), dtype=float32)","tf.Tensor(0.46541384, shape=(), dtype=float32)","tf.Tensor(0.75780743, shape=(), dtype=float32)","tf.Tensor(0.7611527, shape=(), dtype=float32)","tf.Tensor(0.0074734013, shape=(), dtype=float32)","tf.Tensor(1.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
63,"tf.Tensor(0.30470026, shape=(), dtype=float32)","tf.Tensor(0.8263772, shape=(), dtype=float32)","tf.Tensor(0.5551632, shape=(), dtype=float32)","tf.Tensor(0.8154322, shape=(), dtype=float32)","tf.Tensor(0.93735373, shape=(), dtype=float32)","tf.Tensor(0.48037294, shape=(), dtype=float32)","tf.Tensor(0.09513119, shape=(), dtype=float32)","tf.Tensor(0.7847807, shape=(), dtype=float32)","tf.Tensor(0.7396753, shape=(), dtype=float32)","tf.Tensor(0.54221547, shape=(), dtype=float32)","tf.Tensor(0.4369626, shape=(), dtype=float32)","tf.Tensor(0.9304649, shape=(), dtype=float32)","tf.Tensor(-0.40452027, shape=(), dtype=float32)","tf.Tensor(0.7642957, shape=(), dtype=float32)","tf.Tensor(0.0550413, shape=(), dtype=float32)","tf.Tensor(0.77539194, shape=(), dtype=float32)","tf.Tensor(0.01832938, shape=(), dtype=float32)","tf.Tensor(0.08056835, shape=(), dtype=float32)","tf.Tensor(0.41442677, shape=(), dtype=float32)","tf.Tensor(0.9430905, shape=(), dtype=float32)","tf.Tensor(0.012117277, shape=(), dtype=float32)","tf.Tensor(0.6419246, shape=(), dtype=float32)","tf.Tensor(0.57112736, shape=(), dtype=float32)","tf.Tensor(0.8818303, shape=(), dtype=float32)","tf.Tensor(0.9541121, shape=(), dtype=float32)","tf.Tensor(0.4396933, shape=(), dtype=float32)","tf.Tensor(0.25755477, shape=(), dtype=float32)","tf.Tensor(0.41024986, shape=(), dtype=float32)","tf.Tensor(0.5477285, shape=(), dtype=float32)","tf.Tensor(0.05200968, shape=(), dtype=float32)","tf.Tensor(1.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
64,"tf.Tensor(0.5696115, shape=(), dtype=float32)","tf.Tensor(0.75455374, shape=(), dtype=float32)","tf.Tensor(0.44575277, shape=(), dtype=float32)","tf.Tensor(0.66847444, shape=(), dtype=float32)","tf.Tensor(0.60319096, shape=(), dtype=float32)","tf.Tensor(0.5513404, shape=(), dtype=float32)","tf.Tensor(0.491551, shape=(), dtype=float32)","tf.Tensor(0.75792956, shape=(), dtype=float32)","tf.Tensor(0.8111089, shape=(), dtype=float32)","tf.Tensor(0.52890694, shape=(), dtype=float32)","tf.Tensor(0.5677184, shape=(), dtype=float32)","tf.Tensor(0.6815036, shape=(), dtype=float32)","tf.Tensor(0.51299405, shape=(), dtype=float32)","tf.Tensor(0.657743, shape=(), dtype=float32)","tf.Tensor(0.40950006, shape=(), dtype=float32)","tf.Tensor(0.7742379, shape=(), dtype=float32)","tf.Tensor(0.36213353, shape=(), dtype=float32)","tf.Tensor(0.26339117, shape=(), dtype=float32)","tf.Tensor(0.38776115, shape=(), dtype=float32)","tf.Tensor(0.6260337, shape=(), dtype=float32)","tf.Tensor(0.18340077, shape=(), dtype=float32)","tf.Tensor(0.5478616, shape=(), dtype=float32)","tf.Tensor(0.6246687, shape=(), dtype=float32)","tf.Tensor(0.8572976, shape=(), dtype=float32)","tf.Tensor(0.5984352, shape=(), dtype=float32)","tf.Tensor(0.80545175, shape=(), dtype=float32)","tf.Tensor(0.4686047, shape=(), dtype=float32)","tf.Tensor(0.8070478, shape=(), dtype=float32)","tf.Tensor(0.3789875, shape=(), dtype=float32)","tf.Tensor(0.267895, shape=(), dtype=float32)","tf.Tensor(1.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
65,"tf.Tensor(0.35142812, shape=(), dtype=float32)","tf.Tensor(0.9779212, shape=(), dtype=float32)","tf.Tensor(0.39025432, shape=(), dtype=float32)","tf.Tensor(0.96343774, shape=(), dtype=float32)","tf.Tensor(0.19385216, shape=(), dtype=float32)","tf.Tensor(0.6567154, shape=(), dtype=float32)","tf.Tensor(0.75199693, shape=(), dtype=float32)","tf.Tensor(0.95483416, shape=(), dtype=float32)","tf.Tensor(0.6509608, shape=(), dtype=float32)","tf.Tensor(0.91818005, shape=(), dtype=float32)","tf.Tensor(0.91565424, shape=(), dtype=float32)","tf.Tensor(0.06352385, shape=(), dtype=float32)","tf.Tensor(0.9477056, shape=(), dtype=float32)","tf.Tensor(0.48973578, shape=(), dtype=float32)","tf.Tensor(0.7500148, shape=(), dtype=float32)","tf.Tensor(0.79834783, shape=(), dtype=float32)","tf.Tensor(0.8194435, shape=(), dtype=float32)","tf.Tensor(0.90507185, shape=(), dtype=float32)","tf.Tensor(0.80065036, shape=(), dtype=float32)","tf.Tensor(0.5457649, shape=(), dtype=float32)","tf.Tensor(0.19375415, shape=(), dtype=float32)","tf.Tensor(0.5925422, shape=(), dtype=float32)","tf.Tensor(0.5976269, shape=(), dtype=float32)","tf.Tensor(0.8970464, shape=(), dtype=float32)","tf.Tensor(0.88496983, shape=(), dtype=float32)","tf.Tensor(0.78668004, shape=(), dtype=float32)","tf.Tensor(0.43869248, shape=(), dtype=float32)","tf.Tensor(0.80581033, shape=(), dtype=float32)","tf.Tensor(0.8137418, shape=(), dtype=float32)","tf.Tensor(0.0035886513, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(1.0, shape=(), dtype=float32)"
66,"tf.Tensor(0.33498836, shape=(), dtype=float32)","tf.Tensor(0.7520936, shape=(), dtype=float32)","tf.Tensor(0.43526554, shape=(), dtype=float32)","tf.Tensor(0.7507176, shape=(), dtype=float32)","tf.Tensor(0.7271083, shape=(), dtype=float32)","tf.Tensor(0.55611235, shape=(), dtype=float32)","tf.Tensor(0.38339582, shape=(), dtype=float32)","tf.Tensor(0.7056175, shape=(), dtype=float32)","tf.Tensor(0.7167253, shape=(), dtype=float32)","tf.Tensor(0.47827092, shape=(), dtype=float32)","tf.Tensor(0.40209132, shape=(), dtype=float32)","tf.Tensor(0.731644, shape=(), dtype=float32)","tf.Tensor(0.30239725, shape=(), dtype=float32)","tf.Tensor(0.7126727, shape=(), dtype=float32)","tf.Tensor(0.15289213, shape=(), dtype=float32)","tf.Tensor(0.7878987, shape=(), dtype=float32)","tf.Tensor(0.20701383, shape=(), dtype=float32)","tf.Tensor(0.038191758, shape=(), dtype=float32)","tf.Tensor(0.29886115, shape=(), dtype=float32)","tf.Tensor(0.7906912, shape=(), dtype=float32)","tf.Tensor(0.20578054, shape=(), dtype=float32)","tf.Tensor(0.5804275, shape=(), dtype=float32)","tf.Tensor(0.50027263, shape=(), dtype=float32)","tf.Tensor(0.8025864, shape=(), dtype=float32)","tf.Tensor(0.87196857, shape=(), dtype=float32)","tf.Tensor(0.6120811, shape=(), dtype=float32)","tf.Tensor(0.32446662, shape=(), dtype=float32)","tf.Tensor(0.5918565, shape=(), dtype=float32)","tf.Tensor(0.5919602, shape=(), dtype=float32)","tf.Tensor(0.012129424, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(1.0, shape=(), dtype=float32)"
67,"tf.Tensor(0.4169041, shape=(), dtype=float32)","tf.Tensor(0.81692743, shape=(), dtype=float32)","tf.Tensor(0.44252643, shape=(), dtype=float32)","tf.Tensor(0.80446786, shape=(), dtype=float32)","tf.Tensor(0.26330996, shape=(), dtype=float32)","tf.Tensor(0.5335634, shape=(), dtype=float32)","tf.Tensor(0.6115133, shape=(), dtype=float32)","tf.Tensor(0.87118304, shape=(), dtype=float32)","tf.Tensor(0.72595847, shape=(), dtype=float32)","tf.Tensor(0.824728, shape=(), dtype=float32)","tf.Tensor(0.7442338, shape=(), dtype=float32)","tf.Tensor(0.35096225, shape=(), dtype=float32)","tf.Tensor(0.7956168, shape=(), dtype=float32)","tf.Tensor(0.54145396, shape=(), dtype=float32)","tf.Tensor(0.6189582, shape=(), dtype=float32)","tf.Tensor(0.6637666, shape=(), dtype=float32)","tf.Tensor(0.685972, shape=(), dtype=float32)","tf.Tensor(0.7377481, shape=(), dtype=float32)","tf.Tensor(0.6373172, shape=(), dtype=float32)","tf.Tensor(0.44907954, shape=(), dtype=float32)","tf.Tensor(0.35725698, shape=(), dtype=float32)","tf.Tensor(0.5937107, shape=(), dtype=float32)","tf.Tensor(0.61166954, shape=(), dtype=float32)","tf.Tensor(0.82488275, shape=(), dtype=float32)","tf.Tensor(0.7733593, shape=(), dtype=float32)","tf.Tensor(0.85222286, shape=(), dtype=float32)","tf.Tensor(0.29151565, shape=(), dtype=float32)","tf.Tensor(0.80168545, shape=(), dtype=float32)","tf.Tensor(0.77345216, shape=(), dtype=float32)","tf.Tensor(0.027410788, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(1.0, shape=(), dtype=float32)"
68,"tf.Tensor(0.41695148, shape=(), dtype=float32)","tf.Tensor(0.7782071, shape=(), dtype=float32)","tf.Tensor(0.6139173, shape=(), dtype=float32)","tf.Tensor(0.7123054, shape=(), dtype=float32)","tf.Tensor(0.61138207, shape=(), dtype=float32)","tf.Tensor(0.65086246, shape=(), dtype=float32)","tf.Tensor(0.45971718, shape=(), dtype=float32)","tf.Tensor(0.78199995, shape=(), dtype=float32)","tf.Tensor(0.7717937, shape=(), dtype=float32)","tf.Tensor(0.64532936, shape=(), dtype=float32)","tf.Tensor(0.6267506, shape=(), dtype=float32)","tf.Tensor(0.5950324, shape=(), dtype=float32)","tf.Tensor(0.7397425, shape=(), dtype=float32)","tf.Tensor(0.41868773, shape=(), dtype=float32)","tf.Tensor(0.28674605, shape=(), dtype=float32)","tf.Tensor(0.69022363, shape=(), dtype=float32)","tf.Tensor(0.6861888, shape=(), dtype=float32)","tf.Tensor(0.7003984, shape=(), dtype=float32)","tf.Tensor(0.58829194, shape=(), dtype=float32)","tf.Tensor(0.57370174, shape=(), dtype=float32)","tf.Tensor(0.30217436, shape=(), dtype=float32)","tf.Tensor(0.5730636, shape=(), dtype=float32)","tf.Tensor(0.45837203, shape=(), dtype=float32)","tf.Tensor(0.7721746, shape=(), dtype=float32)","tf.Tensor(0.695449, shape=(), dtype=float32)","tf.Tensor(0.8561457, shape=(), dtype=float32)","tf.Tensor(0.47179464, shape=(), dtype=float32)","tf.Tensor(0.8251654, shape=(), dtype=float32)","tf.Tensor(0.7822721, shape=(), dtype=float32)","tf.Tensor(-0.1827097, shape=(), dtype=float32)","tf.Tensor(1.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
69,"tf.Tensor(0.42729717, shape=(), dtype=float32)","tf.Tensor(0.57874775, shape=(), dtype=float32)","tf.Tensor(0.71289223, shape=(), dtype=float32)","tf.Tensor(0.5261017, shape=(), dtype=float32)","tf.Tensor(0.65159523, shape=(), dtype=float32)","tf.Tensor(0.5895447, shape=(), dtype=float32)","tf.Tensor(0.43842146, shape=(), dtype=float32)","tf.Tensor(0.72059375, shape=(), dtype=float32)","tf.Tensor(0.838226, shape=(), dtype=float32)","tf.Tensor(0.6195572, shape=(), dtype=float32)","tf.Tensor(0.62760854, shape=(), dtype=float32)","tf.Tensor(0.65385056, shape=(), dtype=float32)","tf.Tensor(0.723933, shape=(), dtype=float32)","tf.Tensor(0.6964634, shape=(), dtype=float32)","tf.Tensor(0.30660293, shape=(), dtype=float32)","tf.Tensor(0.5671483, shape=(), dtype=float32)","tf.Tensor(0.6634689, shape=(), dtype=float32)","tf.Tensor(0.6743616, shape=(), dtype=float32)","tf.Tensor(0.60580456, shape=(), dtype=float32)","tf.Tensor(0.37405744, shape=(), dtype=float32)","tf.Tensor(0.29313833, shape=(), dtype=float32)","tf.Tensor(0.5568723, shape=(), dtype=float32)","tf.Tensor(0.4933998, shape=(), dtype=float32)","tf.Tensor(0.7182325, shape=(), dtype=float32)","tf.Tensor(0.5958528, shape=(), dtype=float32)","tf.Tensor(0.88287663, shape=(), dtype=float32)","tf.Tensor(0.5743668, shape=(), dtype=float32)","tf.Tensor(0.9167233, shape=(), dtype=float32)","tf.Tensor(0.6523745, shape=(), dtype=float32)","tf.Tensor(-0.24839063, shape=(), dtype=float32)","tf.Tensor(1.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
70,"tf.Tensor(0.16602154, shape=(), dtype=float32)","tf.Tensor(0.45644504, shape=(), dtype=float32)","tf.Tensor(0.795762, shape=(), dtype=float32)","tf.Tensor(0.5060043, shape=(), dtype=float32)","tf.Tensor(0.5473968, shape=(), dtype=float32)","tf.Tensor(0.5782335, shape=(), dtype=float32)","tf.Tensor(0.5960453, shape=(), dtype=float32)","tf.Tensor(0.82126063, shape=(), dtype=float32)","tf.Tensor(0.8179374, shape=(), dtype=float32)","tf.Tensor(0.825339, shape=(), dtype=float32)","tf.Tensor(0.8091599, shape=(), dtype=float32)","tf.Tensor(0.623463, shape=(), dtype=float32)","tf.Tensor(0.8758168, shape=(), dtype=float32)","tf.Tensor(0.7071259, shape=(), dtype=float32)","tf.Tensor(0.5938428, shape=(), dtype=float32)","tf.Tensor(0.4490895, shape=(), dtype=float32)","tf.Tensor(0.76740766, shape=(), dtype=float32)","tf.Tensor(0.84570044, shape=(), dtype=float32)","tf.Tensor(0.6569659, shape=(), dtype=float32)","tf.Tensor(0.44214392, shape=(), dtype=float32)","tf.Tensor(0.40988448, shape=(), dtype=float32)","tf.Tensor(0.68479496, shape=(), dtype=float32)","tf.Tensor(0.573518, shape=(), dtype=float32)","tf.Tensor(0.82361436, shape=(), dtype=float32)","tf.Tensor(0.50894445, shape=(), dtype=float32)","tf.Tensor(0.9448319, shape=(), dtype=float32)","tf.Tensor(0.59886396, shape=(), dtype=float32)","tf.Tensor(0.9605139, shape=(), dtype=float32)","tf.Tensor(0.80703735, shape=(), dtype=float32)","tf.Tensor(-0.2497095, shape=(), dtype=float32)","tf.Tensor(1.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
71,"tf.Tensor(0.7449353, shape=(), dtype=float32)","tf.Tensor(0.93132216, shape=(), dtype=float32)","tf.Tensor(0.32550105, shape=(), dtype=float32)","tf.Tensor(0.90378076, shape=(), dtype=float32)","tf.Tensor(0.34893703, shape=(), dtype=float32)","tf.Tensor(0.6338184, shape=(), dtype=float32)","tf.Tensor(0.6607982, shape=(), dtype=float32)","tf.Tensor(0.91119295, shape=(), dtype=float32)","tf.Tensor(0.663633, shape=(), dtype=float32)","tf.Tensor(0.73949355, shape=(), dtype=float32)","tf.Tensor(0.8231741, shape=(), dtype=float32)","tf.Tensor(0.29807168, shape=(), dtype=float32)","tf.Tensor(0.89032084, shape=(), dtype=float32)","tf.Tensor(0.5611629, shape=(), dtype=float32)","tf.Tensor(0.5354749, shape=(), dtype=float32)","tf.Tensor(0.76723677, shape=(), dtype=float32)","tf.Tensor(0.6343791, shape=(), dtype=float32)","tf.Tensor(0.665511, shape=(), dtype=float32)","tf.Tensor(0.68014985, shape=(), dtype=float32)","tf.Tensor(0.47625, shape=(), dtype=float32)","tf.Tensor(0.24617882, shape=(), dtype=float32)","tf.Tensor(0.5227384, shape=(), dtype=float32)","tf.Tensor(0.5682794, shape=(), dtype=float32)","tf.Tensor(0.82803553, shape=(), dtype=float32)","tf.Tensor(0.68298703, shape=(), dtype=float32)","tf.Tensor(0.732038, shape=(), dtype=float32)","tf.Tensor(0.50541663, shape=(), dtype=float32)","tf.Tensor(0.8344052, shape=(), dtype=float32)","tf.Tensor(0.6297527, shape=(), dtype=float32)","tf.Tensor(0.016455272, shape=(), dtype=float32)","tf.Tensor(1.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
72,"tf.Tensor(0.25974548, shape=(), dtype=float32)","tf.Tensor(0.7607075, shape=(), dtype=float32)","tf.Tensor(0.3666721, shape=(), dtype=float32)","tf.Tensor(0.6802031, shape=(), dtype=float32)","tf.Tensor(0.28713155, shape=(), dtype=float32)","tf.Tensor(0.4938851, shape=(), dtype=float32)","tf.Tensor(0.4822043, shape=(), dtype=float32)","tf.Tensor(0.7272623, shape=(), dtype=float32)","tf.Tensor(0.5435104, shape=(), dtype=float32)","tf.Tensor(0.57215697, shape=(), dtype=float32)","tf.Tensor(0.6183386, shape=(), dtype=float32)","tf.Tensor(0.19903567, shape=(), dtype=float32)","tf.Tensor(0.68843937, shape=(), dtype=float32)","tf.Tensor(0.309388, shape=(), dtype=float32)","tf.Tensor(0.3639481, shape=(), dtype=float32)","tf.Tensor(0.6253318, shape=(), dtype=float32)","tf.Tensor(0.4879528, shape=(), dtype=float32)","tf.Tensor(0.5620258, shape=(), dtype=float32)","tf.Tensor(0.4871543, shape=(), dtype=float32)","tf.Tensor(0.39824504, shape=(), dtype=float32)","tf.Tensor(0.1910904, shape=(), dtype=float32)","tf.Tensor(0.43500087, shape=(), dtype=float32)","tf.Tensor(0.33566314, shape=(), dtype=float32)","tf.Tensor(0.560223, shape=(), dtype=float32)","tf.Tensor(0.6369576, shape=(), dtype=float32)","tf.Tensor(0.63035315, shape=(), dtype=float32)","tf.Tensor(0.40301964, shape=(), dtype=float32)","tf.Tensor(0.63863295, shape=(), dtype=float32)","tf.Tensor(0.56924415, shape=(), dtype=float32)","tf.Tensor(-0.023215266, shape=(), dtype=float32)","tf.Tensor(1.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
73,"tf.Tensor(0.72027725, shape=(), dtype=float32)","tf.Tensor(0.9709938, shape=(), dtype=float32)","tf.Tensor(0.20348574, shape=(), dtype=float32)","tf.Tensor(0.94896567, shape=(), dtype=float32)","tf.Tensor(0.16797619, shape=(), dtype=float32)","tf.Tensor(0.7302348, shape=(), dtype=float32)","tf.Tensor(0.7030788, shape=(), dtype=float32)","tf.Tensor(0.92875123, shape=(), dtype=float32)","tf.Tensor(0.69000155, shape=(), dtype=float32)","tf.Tensor(0.84778637, shape=(), dtype=float32)","tf.Tensor(0.86357605, shape=(), dtype=float32)","tf.Tensor(0.13671526, shape=(), dtype=float32)","tf.Tensor(0.9167059, shape=(), dtype=float32)","tf.Tensor(0.46333066, shape=(), dtype=float32)","tf.Tensor(0.68496865, shape=(), dtype=float32)","tf.Tensor(0.82684684, shape=(), dtype=float32)","tf.Tensor(0.8032001, shape=(), dtype=float32)","tf.Tensor(0.8388212, shape=(), dtype=float32)","tf.Tensor(0.8019205, shape=(), dtype=float32)","tf.Tensor(0.55716234, shape=(), dtype=float32)","tf.Tensor(0.22340079, shape=(), dtype=float32)","tf.Tensor(0.53075254, shape=(), dtype=float32)","tf.Tensor(0.6519471, shape=(), dtype=float32)","tf.Tensor(0.8623077, shape=(), dtype=float32)","tf.Tensor(0.8188113, shape=(), dtype=float32)","tf.Tensor(0.8146113, shape=(), dtype=float32)","tf.Tensor(0.48418313, shape=(), dtype=float32)","tf.Tensor(0.7863853, shape=(), dtype=float32)","tf.Tensor(0.69025195, shape=(), dtype=float32)","tf.Tensor(0.17476952, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(1.0, shape=(), dtype=float32)"
74,"tf.Tensor(0.22881691, shape=(), dtype=float32)","tf.Tensor(0.7774115, shape=(), dtype=float32)","tf.Tensor(0.29864955, shape=(), dtype=float32)","tf.Tensor(0.73224175, shape=(), dtype=float32)","tf.Tensor(0.28329805, shape=(), dtype=float32)","tf.Tensor(0.51179725, shape=(), dtype=float32)","tf.Tensor(0.60221803, shape=(), dtype=float32)","tf.Tensor(0.78177696, shape=(), dtype=float32)","tf.Tensor(0.4692447, shape=(), dtype=float32)","tf.Tensor(0.6812018, shape=(), dtype=float32)","tf.Tensor(0.7153604, shape=(), dtype=float32)","tf.Tensor(0.19569364, shape=(), dtype=float32)","tf.Tensor(0.72519064, shape=(), dtype=float32)","tf.Tensor(0.38354424, shape=(), dtype=float32)","tf.Tensor(0.5524118, shape=(), dtype=float32)","tf.Tensor(0.478886, shape=(), dtype=float32)","tf.Tensor(0.6520237, shape=(), dtype=float32)","tf.Tensor(0.6704055, shape=(), dtype=float32)","tf.Tensor(0.5485625, shape=(), dtype=float32)","tf.Tensor(0.29781127, shape=(), dtype=float32)","tf.Tensor(0.26657262, shape=(), dtype=float32)","tf.Tensor(0.4969294, shape=(), dtype=float32)","tf.Tensor(0.48557538, shape=(), dtype=float32)","tf.Tensor(0.7228042, shape=(), dtype=float32)","tf.Tensor(0.66342664, shape=(), dtype=float32)","tf.Tensor(0.7467969, shape=(), dtype=float32)","tf.Tensor(0.30549902, shape=(), dtype=float32)","tf.Tensor(0.6665303, shape=(), dtype=float32)","tf.Tensor(0.64171326, shape=(), dtype=float32)","tf.Tensor(0.020141322, shape=(), dtype=float32)","tf.Tensor(1.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
